sample length
DRX262079 341
DRX262079 488
DRX262080 747
DRX262081 747
DRX262082 710
DRX262083 747
DRX262085 1285
DRX262085 710
DRX262086 710
DRX262087 710
DRX262089 342
DRX262090 710
DRX262091 710
DRX262092 710
DRX262093 710
DRX262094 710
DRX262096 1285
DRX262096 710
DRX262098 710
DRX262099 710
DRX262100 710
DRX262102 710
DRX262103 710
DRX262105 710
DRX262107 710
DRX262108 747
DRX262109 710
DRX262111 710
DRX262112 710
DRX262113 4026
DRX262114 747
DRX262116 710
DRX262117 710
DRX262118 710
DRX262119 710
DRX262120 710
DRX262121 710
DRX262122 710
DRX262123 341
DRX262123 488
DRX262124 710
DRX262125 710
DRX262128 2793
DRX262128 747
DRX262129 710
DRX262131 2793
DRX262131 710
DRX262134 710
DRX262135 710
DRX262137 710
DRX262142 710
DRX262144 2720
DRX262144 710
DRX262145 747
DRX262147 710
DRX262150 710
DRX262151 710
DRX262153 710
DRX262154 710
DRX262155 710
DRX262156 710
DRX262157 710
DRX262158 710
DRX262159 2793
DRX262159 710
DRX262163 710
DRX262167 710
DRX262168 710
DRX262169 1041
DRX262171 710
DRX262174 710
DRX262178 710
DRX262180 710
DRX262182 710
DRX262183 710
DRX262184 710
DRX262189 710
DRX262192 710
DRX262195 710
DRX262196 495
DRX262198 710
DRX262199 710
DRX262200 710
DRX262201 710
DRX262204 710
DRX262206 710
DRX262207 710
DRX262208 710
DRX262209 710
DRX262210 710
DRX262212 710
DRX262213 710
DRX262214 2793
DRX262214 495
DRX262215 710
DRX262216 710
DRX262217 710
DRX262218 710
DRX262219 710
DRX262221 710
DRX262222 495
DRX262223 710
DRX262224 710
DRX262225 710
DRX262226 710
DRX262227 742
DRX262228 710
DRX262229 710
DRX262231 710
DRX262232 710
DRX262233 710
DRX262235 710
DRX262236 710
DRX262238 710
DRX262242 710
DRX262243 710
DRX262244 710
DRX262249 710
DRX263055 710
DRX263056 747
DRX263057 710
DRX297166 710
DRX297167 418
DRX297168 710
DRX297169 710
DRX297170 710
DRX297171 710
DRX300715 710
DRX317659 945
DRX317662 710
DRX317663 710
DRX317664 710
DRX317665 710
DRX317668 710
DRX317670 710
DRX317671 710
DRX317672 710
DRX317674 710
DRX317676 710
DRX317677 710
DRX317678 710
DRX317679 710
DRX317680 710
DRX317681 710
DRX317682 710
DRX317683 710
DRX317686 710
DRX317687 710
DRX317688 710
DRX317689 710
DRX317690 710
DRX317691 710
DRX317692 710
DRX317693 710
DRX317694 710
DRX317695 747
DRX317696 710
DRX317699 710
DRX317700 710
DRX317701 710
DRX317702 747
DRX317703 710
DRX317704 710
DRX317704 809
DRX317705 710
DRX317707 710
DRX317709 710
DRX317710 747
DRX317711 710
DRX317712 747
DRX317713 710
DRX317714 747
DRX317715 710
DRX317718 747
DRX317720 710
DRX317721 747
DRX317722 747
DRX317723 710
DRX317724 747
DRX317726 710
DRX317727 747
DRX317729 747
DRX317731 710
DRX317732 339
DRX317732 479
DRX317733 710
DRX317735 747
DRX317736 710
DRX317737 710
DRX317738 710
DRX317741 710
DRX317742 710
DRX317743 710
DRX317744 710
DRX317745 710
DRX317746 710
DRX317747 710
DRX317748 710
DRX317749 341
DRX317749 488
DRX317751 710
DRX317752 710
DRX317753 710
DRX317754 710
DRX317755 710
DRX317756 710
DRX317760 710
DRX317761 710
DRX317762 710
DRX317763 710
DRX317764 710
DRX317765 710
DRX317767 710
DRX317770 747
DRX317772 710
DRX317777 710
DRX317778 1332
DRX317779 747
DRX317780 710
DRX317781 710
DRX317782 710
DRX317783 710
DRX317784 710
DRX317786 710
DRX317787 710
DRX317788 747
DRX317789 710
DRX317790 747
DRX317791 710
DRX317792 710
DRX317793 710
DRX317794 747
DRX317795 710
DRX317797 710
DRX317798 710
DRX317799 710
DRX317800 710
DRX317801 710
DRX317802 747
DRX317803 710
DRX317805 710
DRX317806 4441
DRX317806 710
DRX317807 710
DRX317814 710
DRX317815 710
DRX317816 710
DRX317817 710
DRX317818 1332
DRX317818 710
DRX317819 1305
DRX317820 710
DRX317822 710
DRX317824 1058
DRX317824 83
DRX317827 710
DRX317828 710
DRX317831 710
DRX317832 710
DRX317833 710
DRX317839 710
DRX317840 710
DRX317842 710
DRX317843 747
DRX317844 710
DRX317845 747
DRX317846 710
DRX317848 710
DRX317849 710
DRX317850 747
DRX317851 710
DRX317852 710
DRX317853 710
DRX317854 710
DRX317856 710
DRX317857 1332
DRX317857 4441
DRX317857 710
DRX317858 710
DRX317859 710
DRX317861 710
DRX317862 710
DRX317863 710
DRX317864 710
DRX317865 710
DRX317866 710
DRX317867 710
DRX317869 747
DRX317870 710
DRX317871 710
DRX317872 710
DRX317875 710
DRX317877 710
DRX317878 710
DRX317879 710
DRX317880 710
DRX317881 747
DRX317882 710
DRX317884 710
DRX317885 747
DRX317886 710
DRX317888 710
DRX317889 710
DRX317890 710
DRX317891 710
DRX317893 710
DRX317894 710
DRX317895 710
DRX317896 710
DRX317901 710
DRX317902 710
DRX317903 747
DRX317904 710
DRX317905 710
DRX317907 710
DRX317908 710
DRX317909 710
DRX317911 710
DRX317913 710
DRX317915 710
DRX317916 747
DRX317917 747
DRX317920 710
DRX317921 710
DRX317922 710
DRX317923 710
DRX317926 710
DRX336036 710
DRX336037 710
DRX336038 710
DRX336041 710
DRX336042 710
DRX336043 710
DRX336044 710
DRX336045 710
DRX336046 710
DRX336048 710
DRX336049 710
DRX336050 710
DRX336051 710
DRX336052 710
DRX348380 747
DRX348382 747
DRX348383 747
DRX348384 747
DRX348385 747
DRX348386 747
DRX348387 747
DRX348388 747
DRX348389 747
DRX348390 747
DRX348391 747
DRX348392 747
DRX348393 710
DRX348394 747
DRX348395 747
DRX348396 747
DRX348397 747
DRX348398 747
DRX348399 710
DRX348400 747
DRX348401 747
ERX001172 4457
ERX001176 585
ERX001176 665
ERX001178 1093
ERX001178 1352
ERX001178 504
ERX001178 748
ERX001180 1352
ERX001182 769
ERX001194 454
ERX001206 1352
ERX001234 1004
ERX001234 114
ERX001234 856
ERX001248 1115
ERX001248 1156
ERX001248 1171
ERX001248 501
ERX001250 1329
ERX001250 1417
ERX001250 771
ERX001252 2067
ERX001252 677
ERX001252 712
ERX001254 1382
ERX001254 1454
ERX001254 960
ERX001260 2184
ERX001260 843
ERX001260 878
ERX001274 550
ERX001274 850
ERX001278 798
ERX001278 826
ERX001278 829
ERX001282 3513
ERX001282 918
ERX001284 550
ERX001284 639
ERX001300 1561
ERX001300 551
ERX001300 906
ERX015290 2509
ERX015290 679
ERX015332 1332
ERX015352 1332
ERX015555 2559
ERX015555 525
ERX015555 710
ERX015555 953
ERX015563 1420
ERX015574 4441
ERX015863 4460
ERX015864 158
ERX015864 159
ERX015867 747
ERX015869 710
ERX015877 4460
ERX015879 2436
ERX015886 710
ERX015887 4442
ERX015888 4449
ERX015888 710
ERX015890 2151
ERX020498 4458
ERX020502 4458
ERX020506 4458
ERX020510 4458
ERX021270 4462
ERX021274 4458
ERX021278 4462
ERX021282 4458
ERX021286 4462
ERX021290 4458
ERX021294 4458
ERX021298 4458
ERX021302 4458
ERX021306 4458
ERX021310 4458
ERX021314 4458
ERX021318 4458
ERX021322 4462
ERX021326 4461
ERX021329 4457
ERX021334 4458
ERX021338 4458
ERX021342 4458
ERX021346 4457
ERX021350 4458
ERX021354 4457
ERX021357 1116
ERX021357 1964
ERX021357 832
ERX021361 4457
ERX021364 4057
ERX021368 4458
ERX022501 4458
ERX022505 4458
ERX022509 4458
ERX022513 4065
ERX022517 2736
ERX022521 4458
ERX022525 4458
ERX022527 4457
ERX022535 4460
ERX022539 1483
ERX022539 2949
ERX022907 2151
ERX022909 710
ERX022914 2151
ERX022916 710
ERX022920 3907
ERX022929 3948
ERX022944 61
ERX022954 1332
ERX022958 3948
ERX023465 4459
ERX023470 4462
ERX023474 4462
ERX023478 4462
ERX023482 4462
ERX023483 4458
ERX023490 4458
ERX023494 4458
ERX023498 4462
ERX023499 4458
ERX023506 4458
ERX023510 4458
ERX023511 4458
ERX023515 4458
ERX023519 4461
ERX023523 4458
ERX023528 4458
ERX023533 4458
ERX023537 4458
ERX023541 4458
ERX023545 4460
ERX023546 4459
ERX023550 4458
ERX023557 4460
ERX023561 4458
ERX023562 4458
ERX023566 4458
ERX023570 4458
ERX023574 4458
ERX023580 4458
ERX023584 4458
ERX023588 4458
ERX025411 4455
ERX025436 160
ERX025438 160
ERX025453 160
ERX025485 160
ERX025503 160
ERX025557 757
ERX030056 4441
ERX030056 747
ERX030058 747
ERX030059 747
ERX030060 4441
ERX030060 747
ERX030061 4441
ERX030061 710
ERX030064 4460
ERX030065 4460
ERX030066 4461
ERX030067 4460
ERX030068 4460
ERX030069 4461
ERX030070 4461
ERX030071 4461
ERX030072 4460
ERX030073 4461
ERX030074 4461
ERX030075 4460
ERX030076 4215
ERX030077 1352
ERX030077 4460
ERX030078 4461
ERX030079 4460
ERX030080 4460
ERX030081 4460
ERX030082 4460
ERX030083 4461
ERX030084 4460
ERX030085 4460
ERX030086 4460
ERX030087 4460
ERX030088 4460
ERX030089 4460
ERX030090 4460
ERX030091 4460
ERX030092 4460
ERX030093 4461
ERX030094 4460
ERX042871 1352
ERX042871 2956
ERX042871 512
ERX042872 4457
ERX042873 4457
ERX042874 4458
ERX042875 1670
ERX042875 2151
ERX042875 2695
ERX042878 4027
ERX042878 747
ERX042879 4459
ERX042884 4458
ERX042900 4457
ERX042901 4457
ERX042902 4455
ERX042904 4459
ERX042905 4459
ERX042906 4459
ERX042907 4459
ERX042908 4460
ERX042909 710
ERX042910 1352
ERX042910 2956
ERX042911 1352
ERX042915 4457
ERX042916 4460
ERX042917 4460
ERX042918 4460
ERX042919 4461
ERX042920 4461
ERX047888 747
ERX047894 710
ERX050015 4463
ERX050018 2794
ERX062277 710
ERX062278 710
ERX062281 710
ERX062298 710
ERX062304 710
ERX062341 2794
ERX062376 1352
ERX062376 1931
ERX062377 4441
ERX062377 710
ERX062379 747
ERX062381 821
ERX062394 1081
ERX062396 61
ERX062401 710
ERX062402 747
ERX062426 710
ERX062429 710
ERX062430 3959
ERX062434 4441
ERX062436 710
ERX062447 4458
ERX062450 1352
ERX062450 4457
ERX062454 4458
ERX062455 4458
ERX062456 4458
ERX062457 1352
ERX062457 4457
ERX062458 4458
ERX062459 4457
ERX062460 4455
ERX062461 4457
ERX062462 4457
ERX062463 1352
ERX062463 4457
ERX062464 4457
ERX062465 4457
ERX062466 4458
ERX063166 710
ERX063176 710
ERX063185 4463
ERX063188 2794
ERX063815 4441
ERX063815 710
ERX063816 2879
ERX063816 710
ERX063817 710
ERX063819 710
ERX063820 2520
ERX063820 710
ERX063821 710
ERX063822 710
ERX063823 747
ERX063824 710
ERX063825 1209
ERX063825 3258
ERX063827 710
ERX063828 160
ERX063828 710
ERX063829 160
ERX063829 710
ERX063830 710
ERX063831 710
ERX063832 710
ERX063833 710
ERX063834 710
ERX063835 710
ERX063836 710
ERX063837 710
ERX063838 710
ERX063839 710
ERX063840 710
ERX063841 710
ERX063842 1098
ERX063842 710
ERX063843 710
ERX063844 710
ERX063845 710
ERX063846 710
ERX063847 710
ERX063848 710
ERX063849 710
ERX063850 747
ERX063851 710
ERX063852 710
ERX063853 710
ERX063854 710
ERX063855 710
ERX063856 710
ERX063857 747
ERX063858 710
ERX063859 710
ERX063860 4441
ERX063860 710
ERX063861 710
ERX063862 710
ERX063863 710
ERX063865 710
ERX063866 710
ERX063867 710
ERX063868 710
ERX063869 710
ERX063870 4167
ERX063870 710
ERX063871 710
ERX063872 710
ERX063873 710
ERX063874 710
ERX063875 710
ERX063876 160
ERX063876 710
ERX063877 710
ERX063878 710
ERX063879 710
ERX063880 710
ERX063881 710
ERX063882 4441
ERX063882 710
ERX063883 4441
ERX063883 710
ERX063884 710
ERX063885 710
ERX063886 710
ERX063887 4441
ERX063887 710
ERX063888 710
ERX063889 710
ERX063890 710
ERX063891 710
ERX063892 710
ERX063893 710
ERX063894 4441
ERX063894 710
ERX063895 710
ERX063896 710
ERX063897 710
ERX063898 1332
ERX063898 710
ERX063899 710
ERX063900 710
ERX063901 4441
ERX063901 710
ERX063902 747
ERX063903 710
ERX063904 710
ERX063905 710
ERX063906 710
ERX063907 710
ERX063908 747
ERX063909 710
ERX063910 710
ERX067791 4463
ERX080833 710
ERX080834 710
ERX080838 3954
ERX085222 710
ERX085223 710
ERX085225 4460
ERX085236 710
ERX085237 382
ERX085316 382
ERX085319 710
ERX085333 419
ERX085363 4445
ERX085473 1349
ERX085478 710
ERX085482 747
ERX085486 710
ERX085490 710
ERX085491 710
ERX085494 710
ERX086658 710
ERX086661 4460
ERX086663 710
ERX086668 747
ERX086913 710
ERX086919 747
ERX086920 710
ERX086922 710
ERX086925 747
ERX086927 710
ERX086930 747
ERX086967 3831
ERX086971 710
ERX086975 4449
ERX086975 747
ERX086978 747
ERX086988 747
ERX086998 710
ERX087010 710
ERX087015 710
ERX087016 747
ERX087028 710
ERX087054 710
ERX087058 4336
ERX087058 747
ERX087077 710
ERX087082 710
ERX087085 4442
ERX087088 747
ERX087089 710
ERX087093 710
ERX087097 710
ERX087103 747
ERX087105 710
ERX087114 1184
ERX087115 4441
ERX087115 747
ERX087118 4441
ERX087125 160
ERX087126 747
ERX087129 160
ERX088232 4441
ERX088232 747
ERX088233 4441
ERX088233 747
ERX088234 1383
ERX088234 4441
ERX088234 747
ERX088235 4441
ERX088235 747
ERX088236 4441
ERX088236 747
ERX088237 4441
ERX088237 710
ERX088238 4441
ERX088238 747
ERX088239 4441
ERX088239 747
ERX088240 4441
ERX088240 710
ERX088241 4441
ERX088241 747
ERX088242 1155
ERX088242 4441
ERX088242 747
ERX088243 4441
ERX088243 710
ERX088244 4441
ERX088244 747
ERX088245 4441
ERX088245 747
ERX088246 4441
ERX088246 747
ERX088247 4441
ERX088247 747
ERX088248 4441
ERX088248 710
ERX088249 4441
ERX088249 710
ERX088250 4441
ERX088250 747
ERX088251 4441
ERX088251 747
ERX088252 4441
ERX088252 747
ERX088253 4441
ERX088253 747
ERX088254 4441
ERX088254 747
ERX088255 1210
ERX088255 4441
ERX088255 747
ERX088256 4441
ERX088256 747
ERX088257 4441
ERX088257 747
ERX088258 4441
ERX088258 710
ERX088259 4441
ERX088259 747
ERX088260 4441
ERX088260 747
ERX088261 4441
ERX088261 710
ERX088262 4441
ERX088262 710
ERX088263 4441
ERX088263 747
ERX088264 4441
ERX088264 747
ERX088265 1383
ERX088265 4441
ERX088265 710
ERX088266 4441
ERX088266 747
ERX088268 4441
ERX088268 747
ERX088269 4441
ERX088269 747
ERX088270 4441
ERX088270 747
ERX088271 4441
ERX088271 710
ERX088272 1383
ERX088272 4441
ERX088272 747
ERX088273 4441
ERX088273 710
ERX088274 4441
ERX088274 710
ERX088275 4441
ERX088275 747
ERX088278 1383
ERX088278 4441
ERX088278 747
ERX088279 4441
ERX088279 747
ERX088471 157
ERX088471 4442
ERX088497 710
ERX088502 710
ERX088539 4450
ERX088544 4106
ERX088544 710
ERX088547 710
ERX092190 4457
ERX092283 710
ERX092286 747
ERX092295 1150
ERX092295 710
ERX092298 710
ERX092303 3456
ERX092303 710
ERX092305 747
ERX092306 747
ERX092310 747
ERX092312 710
ERX092313 1150
ERX092313 710
ERX092314 710
ERX092343 710
ERX092351 747
ERX092352 4341
ERX092352 747
ERX092355 4341
ERX092355 747
ERX092359 72
ERX092360 747
ERX092368 747
ERX094606 4441
ERX094608 747
ERX094639 710
ERX094695 3948
ERX094726 1332
ERX094729 710
ERX094730 710
ERX094796 710
ERX094865 710
ERX094869 710
ERX094876 710
ERX095274 710
ERX096629 4461
ERX096630 757
ERX096631 4460
ERX096634 4460
ERX096635 4460
ERX096637 4460
ERX096640 4460
ERX096641 4460
ERX096642 4460
ERX096643 4460
ERX096649 4460
ERX096651 4460
ERX096652 4460
ERX096662 4460
ERX096668 4460
ERX096674 4460
ERX096675 4460
ERX096676 4460
ERX096678 4460
ERX096679 4460
ERX096680 3951
ERX096680 710
ERX096685 4460
ERX096686 4460
ERX096689 710
ERX096690 4461
ERX096691 757
ERX096692 4460
ERX096694 4460
ERX096695 4460
ERX096696 4460
ERX096698 4460
ERX096699 4460
ERX096700 710
ERX096701 4460
ERX096703 4460
ERX096705 4461
ERX096710 4460
ERX096712 4460
ERX096713 4460
ERX096714 4460
ERX096715 4460
ERX096717 4460
ERX096720 4460
ERX096721 4460
ERX096725 4460
ERX096726 4460
ERX096734 4460
ERX096735 4460
ERX096737 4460
ERX096744 4458
ERX096745 4458
ERX096746 4460
ERX096747 4460
ERX096749 710
ERX096751 4460
ERX096766 710
ERX096767 4460
ERX100625 710
ERX100651 3557
ERX100656 2808
ERX100657 710
ERX100675 4461
ERX100677 1386
ERX100677 2137
ERX100677 3122
ERX100678 341
ERX100678 4446
ERX100678 488
ERX100685 1155
ERX100685 710
ERX100712 747
ERX1027815 1975
ERX1027816 1975
ERX1027818 1975
ERX1027819 1975
ERX1027820 1427
ERX1027820 4319
ERX1027820 501
ERX1027821 1975
ERX1027822 1975
ERX1027829 1948
ERX1027951 3458
ERX1027951 710
ERX1027957 160
ERX1027957 710
ERX1027959 710
ERX1027960 710
ERX1027967 710
ERX1027969 3456
ERX1027969 710
ERX1027976 710
ERX1027982 710
ERX1027985 710
ERX1027990 710
ERX1027996 160
ERX1027996 710
ERX1028001 710
ERX1028010 710
ERX1028024 710
ERX1028027 710
ERX1028029 710
ERX1028031 710
ERX1028032 710
ERX1028038 4441
ERX1028038 710
ERX1028039 710
ERX1028041 710
ERX1028043 2482
ERX1033511 1975
ERX1033512 1975
ERX1033513 1975
ERX1033523 4447
ERX1033535 4441
ERX1033536 4441
ERX1033544 742
ERX1033559 4455
ERX1033563 158
ERX1033563 4447
ERX1033563 821
ERX1033590 4455
ERX1033654 710
ERX1033655 710
ERX1033656 710
ERX1033662 160
ERX1033662 710
ERX1033673 3458
ERX1033673 710
ERX1033674 747
ERX1033677 710
ERX1033678 3456
ERX1033678 710
ERX1033679 710
ERX1033682 710
ERX1033683 710
ERX1033684 710
ERX1033687 3456
ERX1033687 710
ERX1033688 2494
ERX1033688 710
ERX1033688 919
ERX1033691 747
ERX1033695 710
ERX1033697 710
ERX1033698 710
ERX1033702 3456
ERX1033702 710
ERX1033705 3423
ERX1033705 747
ERX1033710 710
ERX1033712 710
ERX1033729 710
ERX1033736 4441
ERX1033736 710
ERX1033742 3456
ERX1033742 710
ERX1035150 710
ERX1035151 710
ERX1035152 1424
ERX1035152 710
ERX1035153 710
ERX1035154 710
ERX1035155 710
ERX1035156 710
ERX1035157 710
ERX1035158 710
ERX1035159 1332
ERX1035159 710
ERX1035160 710
ERX1035161 710
ERX1035162 710
ERX1035163 710
ERX1035164 710
ERX1035165 710
ERX1035166 4441
ERX1035166 747
ERX1035167 710
ERX1035168 710
ERX1035169 710
ERX1035170 710
ERX1035171 710
ERX1035172 710
ERX1035173 747
ERX1035174 710
ERX1035175 710
ERX1035176 747
ERX1035177 710
ERX1035178 710
ERX1035179 710
ERX1035180 710
ERX1035181 710
ERX1035182 710
ERX1035183 710
ERX1035184 710
ERX1035185 710
ERX1035186 710
ERX1035187 710
ERX1035188 710
ERX1035189 710
ERX1035190 710
ERX1035191 710
ERX1035192 710
ERX1035193 710
ERX1035194 710
ERX1035195 3459
ERX1035195 747
ERX1035196 710
ERX1035197 710
ERX1035198 710
ERX1035199 710
ERX1035200 710
ERX1035201 710
ERX1035202 710
ERX1035203 710
ERX1035204 710
ERX1035205 710
ERX1035206 710
ERX1035207 710
ERX1035208 710
ERX1035209 710
ERX1035210 710
ERX1035211 710
ERX1035212 710
ERX1035213 710
ERX1035214 710
ERX1035215 710
ERX1035216 710
ERX1035217 710
ERX1035218 710
ERX1035219 710
ERX1035220 710
ERX1035221 710
ERX1035222 710
ERX1035223 710
ERX1035224 710
ERX1035225 710
ERX1035226 710
ERX1035227 710
ERX1035228 710
ERX1035229 710
ERX1035230 710
ERX1035231 710
ERX1035232 710
ERX1035233 710
ERX1035234 747
ERX1035235 710
ERX1035236 710
ERX1035237 710
ERX1035238 710
ERX1035239 710
ERX1035240 1332
ERX1035240 710
ERX1035241 710
ERX1035242 710
ERX1035243 1332
ERX1035243 710
ERX1035244 710
ERX103549 4441
ERX103552 4441
ERX103553 4441
ERX103555 4441
ERX103557 4441
ERX103558 4441
ERX103584 3948
ERX103586 2880
ERX103586 747
ERX1043634 747
ERX1043636 3460
ERX1043636 710
ERX1043640 710
ERX1043643 710
ERX1043647 747
ERX1043652 710
ERX1043654 710
ERX1043655 710
ERX1043657 710
ERX1043658 747
ERX1043659 1737
ERX1043662 2482
ERX1043667 747
ERX1043682 747
ERX1043685 710
ERX1043689 710
ERX1043691 3456
ERX1043691 710
ERX1043693 710
ERX1043695 710
ERX1043698 710
ERX1043699 710
ERX1043703 710
ERX1043710 747
ERX1043712 710
ERX1043713 3459
ERX1043713 710
ERX1043718 710
ERX1043719 4441
ERX1043719 710
ERX1043720 2482
ERX1043722 3747
ERX1043723 710
ERX1043725 3456
ERX1043725 710
ERX1048106 710
ERX1048112 747
ERX1048117 710
ERX1048118 710
ERX1048120 710
ERX1048123 1174
ERX1048124 1305
ERX1048124 1367
ERX1048129 747
ERX1048134 2482
ERX1048141 3455
ERX1048141 710
ERX1048142 710
ERX1048143 710
ERX1048144 710
ERX1048145 4448
ERX1048147 710
ERX1048148 747
ERX1048151 3458
